ID,Type,Name,District,Coords,Latitude,Longitude
3,PARK,BEYKOZ KANLICA PARKI,BEYKOZ,"41.09996674 , 29.06574994",41.09996674,29.06574994
4,PARK,BEYKOZ NATO PARKI,BEYKOZ,"41.13110225 , 29.09265518",41.13110225,29.09265518
5,PARK,BEYKOZ MERKEZ PARKI,BEYKOZ,"41.13452851 , 29.09125641",41.13452851,29.09125641
6,PARK,PAŞABAHÇE ATATÜRK PARKI (Alan ölçme çalışması yapıldığında metraj bilgileri girilecektir.),BEYKOZ,"41.11560504 ,  29.09569144",41.11560504, 29.09569144
7,PARK,PAŞABAHÇE SAHİL PARKI (Alan ölçme çalışması yapıldığında metraj bilgileri girilecektir.),,"41.11642748 , 29.09373611",41.11642748,29.09373611
8,PARK,ŞEHİT ATİLLA TAPAN PARKI (Beykoz Belediyesinden devri beklenmektedir.),BEYKOZ,"41.12641100 , 29.09721300",41.12641100,29.09721300
9,PARK,HZ. YUŞA TEPESİ,BEYKOZ,"41.16220683 , 29.08486873",41.16220683,29.08486873
10,PARK,BOZHANE  PARKI,BEYKOZ,"41.16496513 , 29.27179724",41.16496513,29.27179724
11,PARK,DEDEOĞLU PARKI,BEYKOZ,"41.10718208 , 29.08727467",41.10718208,29.08727467
12,PARK,DERESEKİ PARKI,BEYKOZ,"41.15073621 , 29.12464589",41.15073621,29.12464589
13,PARK,GÖLLÜ  PARKI,BEYKOZ,"41.17552679 , 29.26922902",41.17552679,29.26922902
14,PARK,KILIÇLI  PARKI,BEYKOZ,"41.15918185 , 29.29151684",41.15918185,29.29151684
15,PARK,KÜÇÜKSU ÇAYIRI,BEYKOZ,"41.07981011 , 29.06693012",41.07981011,29.06693012
16,PARK,MAHMUT ŞEVKET PAŞA  PARKI,BEYKOZ,"41.15333949 , 29.18793596",41.15333949,29.18793596
17,PARK,MUHTAR HAYRULLAH ERSAYIN PARKI (OTAĞTEPE PARKI),BEYKOZ,"41.08881273 , 29.0771788",41.08881273,29.0771788
18,PARK,ÖRNEKKÖY  PARKI,BEYKOZ,"41.13904946 , 29.14360642",41.13904946,29.14360642
19,PARK,PAŞAMANDIRA PARKI,BEYKOZ,"41.18424175 , 29.25086260",41.18424175,29.25086260
